household_id,baseline_start_week,baseline_end_week,recent_start_week,recent_end_week,baseline_retailer_sales_value,recent_retailer_sales_value,baseline_distinct_baskets,recent_distinct_baskets,baseline_active_weeks,recent_active_weeks,sales_drop,trip_drop,active_week_drop,decline_score,eligible,flagged,partial_week_limitation
5,38,45,46,53,98.37,0.0,6,0,4,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
181,38,45,46,53,304.19,0.0,7,0,5,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
423,38,45,46,53,81.72,0.0,7,0,4,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
472,38,45,46,53,423.35999999999996,0.0,11,0,6,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
682,38,45,46,53,455.35,0.0,26,0,5,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
881,38,45,46,53,330.38,0.0,14,0,8,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
884,38,45,46,53,135.36,0.0,7,0,6,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1468,38,45,46,53,312.05000000000007,0.0,9,0,4,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1913,38,45,46,53,209.92000000000002,0.0,6,0,4,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1959,38,45,46,53,446.21,0.0,12,0,7,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2059,38,45,46,53,248.24999999999997,0.0,6,0,4,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2145,38,45,46,53,86.22,0.0,6,0,5,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2176,38,45,46,53,88.94,0.0,6,0,4,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2254,38,45,46,53,68.67,0.0,8,0,5,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2271,38,45,46,53,52.49,0.0,6,0,4,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2373,38,45,46,53,266.24,0.0,22,0,7,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2411,38,45,46,53,122.34000000000002,0.0,7,0,5,0,1.0,1.0,1.0,1.0,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1038,38,45,46,53,161.35,5.02,35,2,7,1,0.9688875116207003,0.9428571428571428,0.8571428571428571,0.9387294700960644,True,True,Source week 53 contains fewer calendar days than an ordinary week.
391,38,45,46,53,422.73,10.48,23,2,7,2,0.975208762094008,0.9130434782608695,0.7142857142857143,0.9043745673824077,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1257,38,45,46,53,317.25,8.780000000000001,6,1,5,1,0.9723246650906227,0.8333333333333334,0.8,0.8961623325453113,True,True,Source week 53 contains fewer calendar days than an ordinary week.
570,38,45,46,53,265.60999999999996,7.67,6,1,4,1,0.9711230751854222,0.8333333333333334,0.75,0.8855615375927112,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1666,38,45,46,53,115.77000000000001,5.99,9,2,6,1,0.9482594800034552,0.7777777777777778,0.8333333333333334,0.8741297400017276,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1012,38,45,46,53,372.05,63.06000000000002,11,1,6,1,0.8305066523316759,0.9090909090909091,0.8333333333333334,0.8546472655597774,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1657,38,45,46,53,46.51,4.77,6,1,4,1,0.8974414104493657,0.8333333333333334,0.75,0.8487207052246829,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1814,38,45,46,53,354.30999999999995,52.33,6,1,4,1,0.8523044791284469,0.8333333333333334,0.75,0.8261522395642235,True,True,Source week 53 contains fewer calendar days than an ordinary week.
471,38,45,46,53,178.02999999999997,29.28,7,1,4,1,0.8355333370780206,0.8571428571428571,0.75,0.8249095256818674,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1680,38,45,46,53,399.43000000000006,18.22,7,2,6,2,0.9543849986230377,0.7142857142857143,0.6666666666666666,0.8248115469305665,True,True,Source week 53 contains fewer calendar days than an ordinary week.
170,38,45,46,53,399.7,81.85,7,1,6,1,0.7952214160620467,0.8571428571428571,0.8333333333333334,0.8214202318405472,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1582,38,45,46,53,160.79000000000002,25.56,6,1,4,1,0.8410348902294918,0.8333333333333334,0.75,0.820517445114746,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2203,38,45,46,53,636.26,63.790000000000006,11,3,7,2,0.8997422437368372,0.7272727272727273,0.7142857142857143,0.8109100829073796,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1241,38,45,46,53,127.28,23.49,10,2,5,1,0.8154462602137021,0.8,0.8,0.8077231301068512,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2489,38,45,46,53,813.4599999999999,94.53,19,4,7,3,0.8837926880239962,0.7894736842105263,0.5714285714285714,0.7930241635608704,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1135,38,45,46,53,118.97000000000003,11.19,9,3,6,2,0.9059426746238548,0.6666666666666666,0.6666666666666666,0.7863046706452607,True,True,Source week 53 contains fewer calendar days than an ordinary week.
2390,38,45,46,53,226.98,16.68,8,3,6,2,0.9265133491937615,0.625,0.6666666666666666,0.784090007930214,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1060,38,45,46,53,575.4499999999999,89.98,8,2,6,2,0.8436354157615779,0.75,0.6666666666666666,0.7801510412141222,True,True,Source week 53 contains fewer calendar days than an ordinary week.
1721,38,45,46,53,99.1,25.87,6,1,5,1,0.7389505549949545,0.8333333333333334,0.8,0.7794752774974772,True,True,Source week 53 contains fewer calendar days than an ordinary week.
943,38,45,46,53,365.00000000000006,83.13,14,2,6,2,0.7722465753424658,0.8571428571428571,0.6666666666666666,0.7765994781474233,True,True,Source week 53 contains fewer calendar days than an ordinary week.
